unseens,MisconceptionBId,ConstructName,QuestionText,AnswerAText,AnswerBText,
"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead",5,Identify questions involving the measurement of reflex angles.,What is the measure of the reflex angle formed by a straight line and an acute angle of 40 degrees?,320 degrees,40 degrees
Believes gradient = change in y,7,Identify questions involving the calculation of gradients in linear equations.,"Given the points (2, 3) and (5, 11), what is the gradient of the line passing through these points?",8/3,8
"Believes duration can be read from a timetable, rather than calculating from start and end times",10,Identify questions involving calculating durations using a timetable.,A train departs from Station A at 2:15 PM and arrives at Station B at 3:45 PM. What is the duration of the train journey?,1 hour and 45 minutes, 3 hour and 45 minutes
Thinks that the side view does not include the furthest rows back,12,Identify questions involving the interpretation of side views in 3D shapes.,"In a rectangular prism, if you look at the side view of the object, which rows are visible?",The outermost rows on the side and the rows furthest back in depth.,Only the front rows are visible
"Does not subtract from the hours, when having to borrow for a time calculation",13,Identify questions involving time calculations with borrowing.,"If you need to subtract 2 hours and 45 minutes from 5 hours and 30 minutes, what is the result?",2 hours and 45 minutes,3 hours and 30 minutes
Confuses AM and PM when calculating time,17,Identify questions involving the conversion of time between AM and PM.,"A movie starts at 7:00 PM and lasts for 2 hours and 30 minutes. What time does the movie end?",9:30 PM,9:30 AM
"Given the length of the sides, still does not recognise there is enough information to find the area",18,Identify questions involving the calculation of the area of a triangle.,"A triangle has side lengths of 6 cm, 8 cm, and 10 cm. What is the area of the triangle?",24 cm²,Not enough information to find the area
Does not understand the term multiple,24,Identify questions involving multiples of a number.,Which of the following numbers is a multiple of 4?,12,10
Does not realise that when you multiply by 0 the answer will always be 0,25,Identify questions involving multiplication with zero.,What is the result of multiplying 7 by 0?,0,7
"When asked for a number n times smaller or bigger, subtracts or adds n",30,Identify questions involving multiplicative comparisons.,"If a number is 5 times larger than 4, what is that number?",20,9
Believes midpoint multiplied by frequency is equivalent to frequency density,40,Identify questions involving frequency density in statistics.,"A group of data has the following midpoints and frequencies: Midpoint: 10, Frequency: 5. What is the frequency density?",0.5,50
Believes the mean is the number of categories given divided by something,41,Identify questions involving the calculation of the mean in statistics.,"A teacher recorded the scores of five students in a test: 70, 80, 90, 75, and 85. What is the mean score of the students?",80,5
Confuses the terms edges and vertices,43,Identify questions involving the properties of 3D shapes.,"In a cube, how many edges does it have?",12,8
Does not realise that division can be broken down into factors,46,Identify questions involving the division of numbers.,"What is \( 36 \div 6 \)? Can you break it down into its factors?",6,12
"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction",50,Identify questions involving the calculation of total amounts from non-unit fractions.,"If \(\frac{3}{4}\) of a number is 18, what is the total number?",24,12
Thinks circumference is radius x pi,53,Identify questions involving the calculation of the circumference of a circle.,What is the circumference of a circle with a radius of 5 cm?,31.4cm,15.7cm
Assumes a negative number is not rational,56,Identify questions involving rational and irrational numbers.,Is the number -3 rational or irrational?,Rational,Irrational
Cannot identify a common factor when simplifying algebraic fractions,59,
Does not realise that a curved line represents a changing gradient,62
Believes 'data' and 'sample' are interchangeable,63
Cannot spot a variable within a written scenario,65
Divides by 1000 instead of 100 when converting a decimal to a percentage,67
"When given a non-unit fraction of an amount, treats it like a unit fraction",69
Thinks a decimal can be written as a fraction by just writing it under a numerator of 1,72
Confuses a function with an expression,73
Believes that the directions of positive and negative vectors are the opposite way around.,75
Does not understand how to divide algebraic terms,79
Thinks you can ignore the variable when simplifying algebraic fractions,80
Does not know what an exterior angle is ,87
Does not understand place value after the decimal point,90
"When identifying the center of rotation, writes down the origin",92
"When multiplying a surd of the form a✓b by an integer, believes the integer and the number under the surd are multiplied",93
"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",94
Multiplies surds when asked to add,96
Assumes a sequence is linear,104
Thinks the difference between the numerator and denominator determines how close the fraction is to 1,112
Believes fraction to decimal conversion is done by writing the numerator as a decimal,115
Believes an outlier is determined by the number of decimal places a number has,116
Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency,121
Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator,122
Believes perpendicular bisectors is the term used to describe two lines that are parallel,124
Thinks the division sign means to add,125
Does not understand how to read both x and y coordinates,128
Believes they can change only one side of a ratio and it will remain equivalent,129
Thinks the value of an exterior angle is 360 degrees,135
Thinks triple means add three,139
Believes cumulative frequency is plotted at the lower bound of the class,140
Mixes up the x and y values of the coordinates,144
Does not know how to convert percentages with a decimal point into decimals,145
Multiplies instead of dividing when distributing a total amount,147
Confuses theoretical and experimental probability,148
Believes P(success) in probability notation means the number of successes,149
Confuses written 'teen' numbers with their corresponding single-digit number,150
Forgets to apply inverse trigonometric function when finding an angle,155
Confuses the graph of a linear equation with a quadratic equation,156
Believes squared units can be used to measure lengths,157
Believes that adding a positive to a negative makes your answer more negative,160
Thinks only one variable can introduce bias,163
"Believes that in y=mx+c, m is the x-intercept",165
Believes composite function notation means to substitute the outer function into the inner function,168
Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount,170
"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. ",173
Confuses major and minor sector,174
"Thinks that when multiplying decimals (less than 1), the number will get bigger",175
"When the change in value is greater than the original amount, thinks percentage change = original/change x 100",177
Thinks that the 10 becomes a 20 when adding in standard form ,178
Writes the digit 3 times instead of cubing,180
Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid,184
Believes interquartile range is the difference between one of the quartiles and the minimum value,188
Does not know how to calculate the volume of a prism,192
Believes a cyclic quadrilateral can be self-intersecting,193
"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits",198
"Believes that when multiplying a number with a power, the multiplier is added onto the power",199
"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",200
Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers,203
Confuses scalene and equilateral triangles,204
