MisconceptionId,MisconceptionName,MisconceptionName_rewrite_1
0,Does not know that angles in a triangle sum to 180 degrees,
1,Uses dividing fractions method for multiplying fractions,
2,Believes there are 100 degrees in a full turn,
3,"Thinks a quadratic without a non variable term, can not be factorised",
4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead",
6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,
7,Believes gradient = change in y,
8,Student thinks that any two angles along a straight line are equal,
9,Thinks there are 180 degrees in a full turn,
10,"Believes duration can be read from a timetable, rather than calculating from start and end times",
11,"When reading value from graph, reads from the wrong axes.",
12,Thinks that the side view does not include the furthest rows back,
13,"Does not subtract from the hours, when having to borrow for a time calculation",
14,Does not understand how to create a multiple of an equation,
15,"Confuses the order of operations, believes addition comes before division",
16,Believes that graphs of inverse proportion meet the axes,
17,Confuses AM and PM when calculating time,
18,"Given the length of the sides, still does not recognise there is enough information to find the area",
19,"When multiplying a surd by an integer, adds the integer to the number under the surd",
20,Believes the number of wholes in a mixed number multiplies by the fraction part,
21,Estimates shares of a ratio instead of calculating,
22,Confuses the ten thousands and thousands place value columns,
23,Does not understand the command word 'difference',
24,Does not understand the term multiple,
25,Does not realise that when you multiply by 0 the answer will always be 0,
26,Thinks x = ? or y = ? is y = x,
27,Believes squaring a fraction requires you to double both parts,
28,Thinks the interior angles of any polygon add up to 360,
29,Forgot to simplify the fraction,
30,"When asked for a number n times smaller or bigger, subtracts or adds n",
31,Does not understand bar modelling in algebra,
32,"When squaring a variable, believes they also need to square the coefficient",
33,Uses more than 3 letters to describe an angle,
34,Believes dividing a negative by a positive gives a positive answer,
35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,
36,Enlarges by the wrong centre of enlargement,
37,Rounded to wrong degree of accuracy (2sf not 1sf),
38,Believes the sides of an inequality can be switched without changing the direction of the sign,
39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,
40,Believes midpoint multiplied by frequency is equivalent to frequency density,
41,Believes the mean is the number of categories given divided by something,
42,Believes that the complement of a set includes any elements which are also in another set.,
43,Confuses the terms edges and vertices,
44,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds",
45,"When asked for the value of a digit, gives an answer 10 times too big",
46,Does not realise that division can be broken down into factors,
47,Believes y=-f(x) is a reflection in y=x,
48,Thinks corresponding angles sum to 360 degrees,
49,Doesn't believe that when you divide by 0 the answer will always be 0,
50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction",
51,Does not use angle facts when setting up an equation from an angle diagram,
52,When asked for a specific term in a sequence gives the term before,
53,Thinks circumference is radius x pi,
54,Believes the arrow on a number line points to the middle value,
55,"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ",
56,Assumes a negative number is not rational,
57,Believes the solution to mx + c = a is the x intercept of y = mx +c,
58,"When dividing, confuses the remainder with the quotient",
59,Cannot identify a common factor when simplifying algebraic fractions,
60,"Has written the value of the 'ones' column as the answer, withiut using the numbers in the question.",
61,Multiplies by 10 instead of 100 when converting decimal to percentage,
62,Does not realise that a curved line represents a changing gradient,
63,Believes 'data' and 'sample' are interchangeable,
64,Mixes up squaring and multiplying by 4,
65,Cannot spot a variable within a written scenario,
66,Repeats the digits three times when cubing a number,
67,Divides by 1000 instead of 100 when converting a decimal to a percentage,
68,Confuses a term with an equation,
69,"When given a non-unit fraction of an amount, treats it like a unit fraction",
70,"When reading a composite bar chart, just reads total height of bar",
71,Multiplies all given dimensions when calculating an area,
72,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1,
73,Confuses a function with an expression,
74,Believes they must expand brackets before solving an equation,
75,Believes that the directions of positive and negative vectors are the opposite way around.,
76,Confuses quadratic and exponential graphs,
77,"Does not follow the arrows through a function machine, changes the order of the operations asked.",
78,"When multiplying a fraction by an integer, multiplies the denominator instead of the numerator",
79,Does not understand how to divide algebraic terms,
80,Thinks you can ignore the variable when simplifying algebraic fractions,
81,Thinks you subtract rather than add when finding the previous term in a descending linear sequence,
82,Believes the square of a negative will also be negative,
83,Confuses the meaning of perpendicular and vertical ,
84,Believes greater than/less than symbols include end values,
85,Does not remember that a rhombus has equal sides,
86,Assumes value of symbols in a pictogram without checking the key,
87,Does not know what an exterior angle is ,
88,Believes parallelogram is the term used to describe two lines at right angles,
89,Thinks it can't be called a sequence with a repeated number at the start,
90,Does not understand place value after the decimal point,
91,"When asked for factors of an algebraic expression, thinks any part of a term will be a factor",
92,"When identifying the center of rotation, writes down the origin",
93,"When multiplying a surd of the form a✓b by an integer, believes the integer and the number under the surd are multiplied",
94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",
95,Does not know about the + notation for directions in rotations,
96,Multiplies surds when asked to add,
97,Believes there is only one orientation for the isosceles triangle base angles,
98,Incorrectly clears fractions from equations,
99,Thinks the faster you travel the longer the time it will take,
