query,response
"<Construct>Use the order of operations to carry out calculations involving powers/Construct>
<Subject>BIDMAS/Subject>
<Question>
\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?
</Question>
<Answer>Does not need brackets</Answer>
<Misconception>Confuses the order of operations, believes addition comes before multiplication </Misconception>","<Construct>Use the order of operations to carry out calculations involving powers</Construct>
<Subject>BIDMAS</Subject>
<Question>
\[
2+3 \times 4-1
\]
Where do the brackets need to go to make the answer equal \(15\) ?
</Question>
<Answer>Does not need brackets</Answer>
<Misconception>Confuses the order of operations, believes addition comes before multiplication</Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m+1 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}+5 x-6}{x-2} \)
</Question>
<Answer>\( x+3 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term</Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m+2 \)</Answer>
<Misconception>Thinks that when you cancel identical terms from the numerator and denominator, they just disappear</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}-4 x-12}{x-6} \)
</Question>
<Answer>\( x-2 \)</Answer>
<Distractors>
\( x-6 \)
\( x+2 \)
\( x-12 \)
</Distractors>
<Misconception>Thinks that when you cancel identical terms from the numerator and denominator, they just disappear</Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m-1 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}+5 x+6}{x+3} \)
</Question>
<Answer>\( x+2 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term</Misconception>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Only
Tom</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>","<Question>
A bookshelf has 5 shelves with these heights above the floor:
\( 30 \mathrm{~cm}, 20 \mathrm{~cm}, 50 \mathrm{~cm}, 35 \mathrm{~cm}, 25 \mathrm{~cm} \)
Sara says if the bookshelf was raised by \( 5 \mathrm{~cm} \) on blocks, the range of the heights wouldn't change.
Emily says if each shelf was lowered by \( 10 \% \), the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Only
Sara</Answer>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Both Tom and Katie</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
A bookshelf has 5 shelves with these numbers of books:
15, 21, 30, 18, 12
Samantha says if 2 books are added to each shelf, the range wouldn't change.
Ralph says if each shelf is halved, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Both Samantha and Ralph</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Neither is correct</Answer>
<Misconception>Believes if you add the same value to all numbers in the dataset the range will change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
Ashley and Ben are discussing the 5 test scores: 
25, 13, 41, 29, 20
Ashley says if everyone's score was increased by 5 points, the range would increase by 5 points.
Ben says if everyone's score was multiplied by 2, the range would not change.
Who do you agree with?"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>acute</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the intersecting diagonals properties of a rectangle</Construct>
<Subject>Properties of Quadrilaterals</Subject>
<Question>
The diagonals of this rectangle always... ![A rectangle with the diagonals drawn in.]()
</Question>
<Answer>bisect each other</Answer>
<Distractor1>are perpendicular</Distractor1>
<Distractor2>are congruent</Distractor2>
<Distractor3>have different lengths</Distractor3>
<Misconception>Does not know the properties of a rectangle</Misconception>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>obtuse</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the parallel sides properties of a rectangle</Construct>
<Subject>Properties of Quadrilaterals</Subject>
<Question>
The highlighted sides of this rectangle are... ![A rectangle with the top and bottom sides highlighted in blue.]()
</Question>
<Answer>not congruent</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>Not enough information</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the opposite angles properties of a parallelogram</Construct>
<Subject>Properties of Quadrilaterals</Subject>
<Question>
What can be said about the highlighted angles in the parallelogram? ![A parallelogram with opposite angles highlighted in red and yellow.]()
</Question>
<Answer>Equal</Answer>
<Misconception>Does not know the properties of a parallelogram</Misconception>"
