query,response
"<Construct>Use the order of operations to carry out calculations involving powers/Construct>
<Subject>BIDMAS/Subject>
<Question>
\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?
</Question>
<Answer>Does not need brackets</Answer>
<Misconception>Confuses the order of operations, believes addition comes before multiplication </Misconception>","<Construct>Use the order of operations to carry out calculations involving powers</Construct>
<Subject>BIDMAS</Subject>
<Question>
\[
2 \times 3+12 \div 4
\]
Where do the brackets need to go to make the answer equal \( 11 \) ?
</Question>
<Answer>Does not need brackets</Answer>
<Misconception>Confuses the order of operations, believes addition comes before multiplication </Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m+1 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}-7x-18}{x-9} \)
</Question>
<Answer>\( x-2 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term</Misconception>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m+2 \)</Answer>
<Misconception>Thinks that when you cancel identical terms from the numerator and denominator, they just disappear</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator and denominator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}-4 x-5}{x-5} \)
</Question>
<Answer>\( x-1 \)</Answer>
<Misconception>Thinks that when you cancel identical terms from the numerator and denominator, they just disappear</Misconception>
<Distractor1>\( x-5 \)</Distractor1>
<Distractor2>\( x-4 \)</Distractor2>
<Distractor3>\( x^{2}-5 \)</Distractor3>"
"<Construct>Simplify an algebraic fraction by factorising the numerator/Construct>
<Subject>Simplifying Algebraic Fractions/Subject>
<Question>
Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)
</Question>
<Answer>\( m-1 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
</Misconception>","<Construct>Simplify an algebraic fraction by factorising the numerator</Construct>
<Subject>Simplifying Algebraic Fractions</Subject>
<Question>
Simplify the following, if possible: \( \frac{x^{2}-7 x-6}{x-6} \)
</Question>
<Answer>\( x+1 \)</Answer>
<Misconception>Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term</Misconception>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Only
Tom</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
Ashley and Ryan are discussing the \( 5 \) test scores with these values:
\( 72, 51, 98, 82, 65 \)
Ashley says if all the scores are multiplied by \( 2 \), the range wouldn't change.
Ryan says if all the scores are increased by \( 10 \), the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Only Ryan</Answer>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Both Tom and Katie</Answer>
<Misconception>Believes if you changed all values by the same proportion the range would not change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
A baker has 5 cakes with these weights:
\( 8 \mathrm{~kg}, 12 \mathrm{~kg}, 20 \mathrm{~kg}, 10 \mathrm{~kg}, 15 \mathrm{~kg} \)
The baker triples the weight of each cake.
Do the cakes now have the same range of weights as they did before?
</Question>
<Answer>Yes</Answer>"
"<Construct>Calculate the range from a list of data/Construct>
<Subject>Range and Interquartile Range from a List of Data/Subject>
<Question>
Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Neither is correct</Answer>
<Misconception>Believes if you add the same value to all numbers in the dataset the range will change</Misconception>","<Construct>Calculate the range from a list of data</Construct>
<Subject>Range and Interquartile Range from a List of Data</Subject>
<Question>
Ashley is analyzing the exam scores of her 5 friends:
56, 71, 49, 61, 58
Ashley says if each friend scores 4 more marks, the range wouldn't change.
Ben says if each friend scores were multiplied by 2, the range wouldn't change.
Who do you agree with?
</Question>
<Answer>Neither is correct</Answer>
<Misconception>Believes if you add the same value to all numbers in the dataset the range will change</Misconception>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>acute</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the bisecting diagonals properties of a rhombus/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The diagonals of a rhombus will always...</Question>
<Answer>bisect each other at right angles</Answer>
<Misconception>Does not know the properties of a rhombus</Misconception>
<Distractor1>have equal length</Distractor1>
<Distractor2>be perpendicular to each other</Distractor2>
<Distractor3>not intersect at all</Distractor3>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>obtuse</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the opposite sides properties of a rectangle</Construct>
<Subject>Properties of Quadrilaterals</Subject>
<Question>
The lengths of the highlighted sides of this rectangle are never... ![A rectangle with two opposite sides highlighted in blue.]()
</Question>
<Answer>different</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>"
"<Construct>Recall and use the intersecting diagonals properties of a rectangle/Construct>
<Subject>Properties of Quadrilaterals/Subject>
<Question>
The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.]()
</Question>
<Answer>Not enough information</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>","<Construct>Recall and use the opposite sides properties of a rectangle</Construct>
<Subject>Properties of Quadrilaterals</Subject>
<Question>
The length of the opposite sides of this rectangle with different length sides can never be... ![A rectangle with two opposite sides labelled as 5cm and 7cm.]()
</Question>
<Answer>Unequal</Answer>
<Misconception>Does not know the properties of a rectangle</Misconception>"
